sample_id,income_vigs,DZ
kinneil_kerse_wwtp_11_20,14,S01009192
kinneil_kerse_wwtp_11_20,17,S01009190
kinneil_kerse_wwtp_11_20,13,S01009199
kinneil_kerse_wwtp_11_20,2,S01009203
kinneil_kerse_wwtp_11_20,16,S01009200
kinneil_kerse_wwtp_11_20,19,S01009204
kinneil_kerse_wwtp_11_20,16,S01009197
kinneil_kerse_wwtp_11_20,17,S01009194
kinneil_kerse_wwtp_11_20,19,S01009196
kinneil_kerse_wwtp_11_20,18,S01009191
kinneil_kerse_wwtp_11_20,17,S01009202
kinneil_kerse_wwtp_11_20,20,S01009209
kinneil_kerse_wwtp_11_20,14,S01009214
kinneil_kerse_wwtp_11_20,17,S01009206
kinneil_kerse_wwtp_11_20,19,S01009201
kinneil_kerse_wwtp_11_20,16,S01009205
kinneil_kerse_wwtp_11_20,12,S01009208
kinneil_kerse_wwtp_11_20,15,S01009210
kinneil_kerse_wwtp_11_20,12,S01009198
kinneil_kerse_wwtp_11_20,15,S01009207
kinneil_kerse_wwtp_11_20,10,S01009211
kinneil_kerse_wwtp_11_20,4,S01009147
kinneil_kerse_wwtp_11_20,17,S01009144
kinneil_kerse_wwtp_11_20,16,S01009193
kinneil_kerse_wwtp_11_20,5,S01009148
kinneil_kerse_wwtp_11_20,4,S01009142
kinneil_kerse_wwtp_11_20,8,S01009145
kinneil_kerse_wwtp_11_20,6,S01009146
kinneil_kerse_wwtp_11_20,9,S01009216
kinneil_kerse_wwtp_11_20,2,S01009143
kinneil_kerse_wwtp_11_20,6,S01009215
kinneil_kerse_wwtp_11_20,13,S01009218
kinneil_kerse_wwtp_11_20,7,S01009213
kinneil_kerse_wwtp_11_20,4,S01009217
kinneil_kerse_wwtp_11_20,6,S01009212
kinneil_kerse_wwtp_11_20,2,S01009240
kinneil_kerse_wwtp_11_20,2,S01009241
kinneil_kerse_wwtp_11_20,11,S01009242
kinneil_kerse_wwtp_11_20,3,S01009232
kinneil_kerse_wwtp_11_20,10,S01009238
kinneil_kerse_wwtp_11_20,6,S01009239
kinneil_kerse_wwtp_11_20,9,S01009233
kinneil_kerse_wwtp_11_20,2,S01009234
kinneil_kerse_wwtp_11_20,9,S01009229
kinneil_kerse_wwtp_11_20,5,S01009226
kinneil_kerse_wwtp_11_20,2,S01009228
kinneil_kerse_wwtp_11_20,6,S01009227
kinneil_kerse_wwtp_11_20,9,S01009121
kinneil_kerse_wwtp_11_20,10,S01009223
kinneil_kerse_wwtp_11_20,6,S01009224
kinneil_kerse_wwtp_11_20,9,S01009221
kinneil_kerse_wwtp_11_20,7,S01009225
kinneil_kerse_wwtp_11_20,5,S01009220
kinneil_kerse_wwtp_11_20,6,S01009222
kinneil_kerse_wwtp_11_20,8,S01009219
kinneil_kerse_wwtp_11_20,9,S01009230
kinneil_kerse_wwtp_11_20,14,S01009231
kinneil_kerse_wwtp_11_20,5,S01009235
kinneil_kerse_wwtp_11_20,15,S01009236
kinneil_kerse_wwtp_11_20,17,S01009237
kirkcaldy_wwtp_11_20,2,S01009473
kirkcaldy_wwtp_11_20,8,S01009479
kirkcaldy_wwtp_11_20,19,S01009478
kirkcaldy_wwtp_11_20,11,S01009477
kirkcaldy_wwtp_11_20,20,S01009475
kirkcaldy_wwtp_11_20,17,S01009476
kirkcaldy_wwtp_11_20,12,S01009526
kirkcaldy_wwtp_11_20,13,S01009480
kirkcaldy_wwtp_11_20,2,S01009472
kirkcaldy_wwtp_11_20,3,S01009474
kirkcaldy_wwtp_11_20,1,S01009471
kirkcaldy_wwtp_11_20,7,S01009484
kirkcaldy_wwtp_11_20,6,S01009527
kirkcaldy_wwtp_11_20,17,S01009530
kirkcaldy_wwtp_11_20,13,S01009529
kirkcaldy_wwtp_11_20,6,S01009528
kirkcaldy_wwtp_11_20,1,S01009534
kirkcaldy_wwtp_11_20,5,S01009522
kirkcaldy_wwtp_11_20,1,S01009535
kirkcaldy_wwtp_11_20,4,S01009533
kirkcaldy_wwtp_11_20,2,S01009524
kirkcaldy_wwtp_11_20,19,S01009532
kirkcaldy_wwtp_11_20,5,S01009521
kirkcaldy_wwtp_11_20,7,S01009536
kirkcaldy_wwtp_11_20,19,S01009538
kirkcaldy_wwtp_11_20,6,S01009537
kirkcaldy_wwtp_11_20,8,S01009544
kirkcaldy_wwtp_11_20,3,S01009531
kirkcaldy_wwtp_11_20,11,S01009541
kirkcaldy_wwtp_11_20,2,S01009540
kirkcaldy_wwtp_11_20,7,S01009539
kirkcaldy_wwtp_11_20,12,S01009519
kirkcaldy_wwtp_11_20,3,S01009547
kirkcaldy_wwtp_11_20,9,S01009483
kirkcaldy_wwtp_11_20,11,S01009481
kirkcaldy_wwtp_11_20,3,S01009525
kirkcaldy_wwtp_11_20,3,S01009509
kirkcaldy_wwtp_11_20,3,S01009523
kirkcaldy_wwtp_11_20,20,S01009495
kirkcaldy_wwtp_11_20,9,S01009482
kirkcaldy_wwtp_11_20,10,S01009486
kirkcaldy_wwtp_11_20,17,S01009493
kirkcaldy_wwtp_11_20,14,S01009494
kirkcaldy_wwtp_11_20,6,S01009485
kirkcaldy_wwtp_11_20,13,S01009457
kirkcaldy_wwtp_11_20,9,S01009488
kirkcaldy_wwtp_11_20,3,S01009487
kirkcaldy_wwtp_11_20,8,S01009499
kirkcaldy_wwtp_11_20,2,S01009504
kirkcaldy_wwtp_11_20,2,S01009505
kirkcaldy_wwtp_11_20,8,S01009443
kirkcaldy_wwtp_11_20,7,S01009507
kirkcaldy_wwtp_11_20,11,S01009506
kirkcaldy_wwtp_11_20,3,S01009508
kirkcaldy_wwtp_11_20,3,S01009500
kirkcaldy_wwtp_11_20,19,S01009501
kirkcaldy_wwtp_11_20,5,S01009502
kirkcaldy_wwtp_11_20,8,S01009497
kirkcaldy_wwtp_11_20,12,S01009520
kirkcaldy_wwtp_11_20,20,S01009518
kirkcaldy_wwtp_11_20,17,S01009510
kirkcaldy_wwtp_11_20,14,S01009512
kirkcaldy_wwtp_11_20,17,S01009513
kirkcaldy_wwtp_11_20,20,S01009511
kirkcaldy_wwtp_11_20,16,S01009514
kirkcaldy_wwtp_11_20,6,S01009503
kirkcaldy_wwtp_11_20,7,S01009516
kirkcaldy_wwtp_11_20,8,S01009496
kirkcaldy_wwtp_11_20,15,S01009517
kirkcaldy_wwtp_11_20,6,S01009515
kirkcaldy_wwtp_11_20,17,S01009498
stirling_wwtp_11_20,7,S01013046
stirling_wwtp_11_20,16,S01013049
stirling_wwtp_11_20,3,S01013053
stirling_wwtp_11_20,19,S01013050
stirling_wwtp_11_20,5,S01013051
stirling_wwtp_11_20,10,S01013045
stirling_wwtp_11_20,12,S01013048
stirling_wwtp_11_20,6,S01013052
stirling_wwtp_11_20,11,S01013042
stirling_wwtp_11_20,3,S01013043
stirling_wwtp_11_20,19,S01013044
stirling_wwtp_11_20,10,S01013054
stirling_wwtp_11_20,7,S01013055
stirling_wwtp_11_20,5,S01013056
stirling_wwtp_11_20,8,S01013066
stirling_wwtp_11_20,17,S01013062
stirling_wwtp_11_20,19,S01013029
stirling_wwtp_11_20,4,S01013030
stirling_wwtp_11_20,5,S01013031
stirling_wwtp_11_20,14,S01013032
stirling_wwtp_11_20,19,S01013028
stirling_wwtp_11_20,7,S01013035
stirling_wwtp_11_20,5,S01013034
stirling_wwtp_11_20,11,S01013033
stirling_wwtp_11_20,4,S01013036
stirling_wwtp_11_20,7,S01013064
stirling_wwtp_11_20,13,S01009122
stirling_wwtp_11_20,7,S01013065
stirling_wwtp_11_20,16,S01013047
stirling_wwtp_11_20,20,S01013025
stirling_wwtp_11_20,17,S01013039
stirling_wwtp_11_20,7,S01013026
stirling_wwtp_11_20,3,S01013027
stirling_wwtp_11_20,9,S01013040
stirling_wwtp_11_20,7,S01013038
stirling_wwtp_11_20,13,S01013037
stirling_wwtp_11_20,8,S01013041
stirling_wwtp_11_20,15,S01013059
stirling_wwtp_11_20,16,S01013058
stirling_wwtp_11_20,2,S01013057
stirling_wwtp_11_20,18,S01013023
stirling_wwtp_11_20,18,S01013061
